id,success,log,alignment,reads,aligned,rate
01-13-A6D25_1,TRUE,alignments/01-13-A6D25_1.log,alignments/01-13-A6D25_1.bam,6905481,41,5.93731269407591e-06
01-13-A6D25_2,TRUE,alignments/01-13-A6D25_2.log,alignments/01-13-A6D25_2.bam,6760062,41,6.06503313135294e-06
01-13-A6D25_3,TRUE,alignments/01-13-A6D25_3.log,alignments/01-13-A6D25_3.bam,7024216,39,5.55222105926128e-06
01-13-A6D25_4,TRUE,alignments/01-13-A6D25_4.log,alignments/01-13-A6D25_4.bam,6899061,31,4.49336511157098e-06
02-21-A4D20_1,TRUE,alignments/02-21-A4D20_1.log,alignments/02-21-A4D20_1.bam,4029850,24,5.95555665843642e-06
02-21-A4D20_2,TRUE,alignments/02-21-A4D20_2.log,alignments/02-21-A4D20_2.bam,3951879,22,5.56697206569331e-06
02-21-A4D20_3,TRUE,alignments/02-21-A4D20_3.log,alignments/02-21-A4D20_3.bam,4040931,22,5.44428994209503e-06
02-21-A4D20_4,TRUE,alignments/02-21-A4D20_4.log,alignments/02-21-A4D20_4.bam,3968745,16,4.03150114204868e-06
03-16-C2D25_1,TRUE,alignments/03-16-C2D25_1.log,alignments/03-16-C2D25_1.bam,4786013,2,4.17884364292366e-07
03-16-C2D25_2,TRUE,alignments/03-16-C2D25_2.log,alignments/03-16-C2D25_2.bam,4685157,3,6.4032005757758e-07
03-16-C2D25_3,TRUE,alignments/03-16-C2D25_3.log,alignments/03-16-C2D25_3.bam,4853643,3,6.18092430778283e-07
03-16-C2D25_4,TRUE,alignments/03-16-C2D25_4.log,alignments/03-16-C2D25_4.bam,4782935,0,0
04-3-C6D25_1,TRUE,alignments/04-3-C6D25_1.log,alignments/04-3-C6D25_1.bam,5468951,4,7.31401689281912e-07
04-3-C6D25_2,TRUE,alignments/04-3-C6D25_2.log,alignments/04-3-C6D25_2.bam,5349696,8,1.49541207575159e-06
04-3-C6D25_3,TRUE,alignments/04-3-C6D25_3.log,alignments/04-3-C6D25_3.bam,5556413,8,1.43977778469671e-06
04-3-C6D25_4,TRUE,alignments/04-3-C6D25_4.log,alignments/04-3-C6D25_4.bam,5464602,4,7.31983774847647e-07
05-2-A5D25_1,TRUE,alignments/05-2-A5D25_1.log,alignments/05-2-A5D25_1.bam,6431344,31,4.8201433479534e-06
05-2-A5D25_2,TRUE,alignments/05-2-A5D25_2.log,alignments/05-2-A5D25_2.bam,6286619,33,5.24924446669983e-06
05-2-A5D25_3,TRUE,alignments/05-2-A5D25_3.log,alignments/05-2-A5D25_3.bam,6511543,32,4.91434979389678e-06
