url,target,description
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/000/SRR8664600/SRR8664600_1.fastq.gz,data/duration/raw/0A-03-03-16_R1_001.fastq.gz,forward reads for 0A-03-03-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/009/SRR8664599/SRR8664599_1.fastq.gz,data/duration/raw/0A-03-04-16_R1_001.fastq.gz,forward reads for 0A-03-04-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/002/SRR8664602/SRR8664602_1.fastq.gz,data/duration/raw/0A-03-06-16_R1_001.fastq.gz,forward reads for 0A-03-06-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/001/SRR8664601/SRR8664601_1.fastq.gz,data/duration/raw/0A-03-08-16_R1_001.fastq.gz,forward reads for 0A-03-08-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/004/SRR8664604/SRR8664604_1.fastq.gz,data/duration/raw/0A-03-10-16_R1_001.fastq.gz,forward reads for 0A-03-10-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/003/SRR8664603/SRR8664603_1.fastq.gz,data/duration/raw/0A-03-12-16_R1_001.fastq.gz,forward reads for 0A-03-12-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8664606/SRR8664606_1.fastq.gz,data/duration/raw/0A-03-14-16_R1_001.fastq.gz,forward reads for 0A-03-14-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/005/SRR8664605/SRR8664605_1.fastq.gz,data/duration/raw/0A-03-16-16_R1_001.fastq.gz,forward reads for 0A-03-16-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8664608/SRR8664608_1.fastq.gz,data/duration/raw/0A-03-18-16_R1_001.fastq.gz,forward reads for 0A-03-18-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8664607/SRR8664607_1.fastq.gz,data/duration/raw/0A-03-20-16_R1_001.fastq.gz,forward reads for 0A-03-20-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8664577/SRR8664577_1.fastq.gz,data/duration/raw/0A-03-22-16_R1_001.fastq.gz,forward reads for 0A-03-22-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8664576/SRR8664576_1.fastq.gz,data/duration/raw/0A-03-24-16_R1_001.fastq.gz,forward reads for 0A-03-24-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/005/SRR8664575/SRR8664575_1.fastq.gz,data/duration/raw/0A-03-28-16_R1_001.fastq.gz,forward reads for 0A-03-28-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/004/SRR8664574/SRR8664574_1.fastq.gz,data/duration/raw/0A-04-05-16_R1_001.fastq.gz,forward reads for 0A-04-05-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/001/SRR8664581/SRR8664581_1.fastq.gz,data/duration/raw/0B-03-03-16_R1_001.fastq.gz,forward reads for 0B-03-03-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/000/SRR8664580/SRR8664580_1.fastq.gz,data/duration/raw/0B-03-04-16_R1_001.fastq.gz,forward reads for 0B-03-04-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/009/SRR8664579/SRR8664579_1.fastq.gz,data/duration/raw/0B-03-06-16_R1_001.fastq.gz,forward reads for 0B-03-06-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8664578/SRR8664578_1.fastq.gz,data/duration/raw/0B-03-08-16_R1_001.fastq.gz,forward reads for 0B-03-08-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/002/SRR8664572/SRR8664572_1.fastq.gz,data/duration/raw/0B-03-10-16_R1_001.fastq.gz,forward reads for 0B-03-10-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/001/SRR8664571/SRR8664571_1.fastq.gz,data/duration/raw/0B-03-12-16_R1_001.fastq.gz,forward reads for 0B-03-12-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8664657/SRR8664657_1.fastq.gz,data/duration/raw/0B-03-14-16_R1_001.fastq.gz,forward reads for 0B-03-14-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8664658/SRR8664658_1.fastq.gz,data/duration/raw/0B-03-16-16_R1_001.fastq.gz,forward reads for 0B-03-16-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/005/SRR8664655/SRR8664655_1.fastq.gz,data/duration/raw/0B-03-18-16_R1_001.fastq.gz,forward reads for 0B-03-18-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8664656/SRR8664656_1.fastq.gz,data/duration/raw/0B-03-20-16_R1_001.fastq.gz,forward reads for 0B-03-20-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/001/SRR8664661/SRR8664661_1.fastq.gz,data/duration/raw/0B-03-22-16_R1_001.fastq.gz,forward reads for 0B-03-22-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/002/SRR8664662/SRR8664662_1.fastq.gz,data/duration/raw/0B-03-24-16_R1_001.fastq.gz,forward reads for 0B-03-24-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/009/SRR8664659/SRR8664659_1.fastq.gz,data/duration/raw/0B-03-28-16_R1_001.fastq.gz,forward reads for 0B-03-28-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/000/SRR8664660/SRR8664660_1.fastq.gz,data/duration/raw/0B-04-05-16_R1_001.fastq.gz,forward reads for 0B-04-05-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/003/SRR8664663/SRR8664663_1.fastq.gz,data/duration/raw/0C-03-03-16_R1_001.fastq.gz,forward reads for 0C-03-03-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/004/SRR8664664/SRR8664664_1.fastq.gz,data/duration/raw/0C-03-04-16_R1_001.fastq.gz,forward reads for 0C-03-04-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8664636/SRR8664636_1.fastq.gz,data/duration/raw/0C-03-06-16_R1_001.fastq.gz,forward reads for 0C-03-06-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/005/SRR8664635/SRR8664635_1.fastq.gz,data/duration/raw/0C-03-08-16_R1_001.fastq.gz,forward reads for 0C-03-08-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8664638/SRR8664638_1.fastq.gz,data/duration/raw/0C-03-10-16_R1_001.fastq.gz,forward reads for 0C-03-10-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8664637/SRR8664637_1.fastq.gz,data/duration/raw/0C-03-12-16_R1_001.fastq.gz,forward reads for 0C-03-12-16
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/000/SRR8664640/SRR8664640_1.fastq.gz,data/duration/raw/0C-03-14-16_R1_001.fastq.gz,forward reads for 0C-03-14-16
