,0A.d-1.spore,0A.d-1.total,0A.d00.total,0A.d02.total,0A.d04.total,0A.d06.total,0A.d08.spore,0A.d08.total,0A.d10.spore,0A.d10.total,0A.d12.total,0A.d14.total,0A.d16.total,0A.d18.total,0A.d20.total,0A.d24.spore,0A.d24.total,0A.d32.spore,0A.d32.total,0B.d-1.spore,0B.d-1.total,0B.d00.total,0B.d02.total,0B.d04.total,0B.d06.total,0B.d08.spore,0B.d08.total,0B.d10.spore,0B.d10.total,0B.d12.total,0B.d14.spore,0B.d14.total,0B.d16.total,0B.d18.total,0B.d20.total,0B.d24.spore,0B.d24.total,0B.d32.spore,0B.d32.total,0C.d-1.spore,0C.d-1.total,0C.d00.total,0C.d02.total,0C.d04.total,0C.d06.total,0C.d08.spore,0C.d08.total,0C.d10.spore,0C.d10.total,0C.d12.total,0C.d14.spore,0C.d14.total,0C.d16.total,0C.d18.total,0C.d20.total,0C.d24.total,0C.d32.spore,0C.d32.total,0D.d-1.spore,0D.d-1.total,0D.d00.total,0D.d02.total,0D.d04.total,0D.d06.total,0D.d08.spore,0D.d08.total,0D.d10.spore,0D.d10.total,0D.d12.total,0D.d14.spore,0D.d14.total,0D.d16.total,0D.d18.total,0D.d20.total,0D.d24.spore,0D.d24.total,0D.d32.spore,0D.d32.total,16A.d-1.total,16A.d00.total,16A.d16.total,16A.d18.total,16A.d20.total,16A.d24.spore,16A.d24.total,16A.d32.spore,16A.d32.total,16B.d-1.total,16B.d00.total,16B.d16.total,16B.d18.total,16B.d20.total,16B.d24.total,16B.d32.spore,16B.d32.total,16C.d-1.total,16C.d00.total,16C.d16.total,16C.d18.total,16C.d20.total,16C.d24.spore,16C.d24.total,16C.d32.spore,16C.d32.total,16D.d-1.total,16D.d00.total,16D.d16.total,16D.d18.total,16D.d20.total,16D.d24.spore,16D.d24.total,16D.d32.spore,16D.d32.total,2A.d-1.spore,2A.d-1.total,2A.d00.total,2A.d02.total,2A.d04.total,2A.d06.total,2A.d08.total,2A.d32.spore,2A.d32.total,2B.d-1.spore,2B.d-1.total,2B.d00.total,2B.d02.total,2B.d04.total,2B.d06.total,2B.d08.total,2B.d32.spore,2B.d32.total,2C.d-1.spore,2C.d-1.total,2C.d00.total,2C.d02.total,2C.d04.total,2C.d06.total,2C.d08.total,2C.d32.spore,2C.d32.total,2D.d-1.spore,2D.d-1.total,2D.d00.total,2D.d02.total,2D.d04.total,2D.d06.total,2D.d08.total,2D.d32.spore,2D.d32.total,4A.d-1.spore,4A.d-1.total,4A.d00.total,4A.d04.total,4A.d06.total,4A.d08.total,4A.d10.total,4A.d32.spore,4A.d32.total,4B.d-1.spore,4B.d-1.total,4B.d00.total,4B.d04.total,4B.d06.total,4B.d08.total,4B.d10.spore,4B.d10.total,4B.d32.spore,4B.d32.total,4C.d-1.spore,4C.d-1.total,4C.d00.total,4C.d04.total,4C.d06.total,4C.d08.total,4C.d10.total,4C.d32.spore,4C.d32.total,4D.d-1.spore,4D.d-1.total,4D.d00.total,4D.d04.total,4D.d06.total,4D.d08.total,4D.d10.total,4D.d32.spore,4D.d32.total,8A.d-1.total,8A.d00.total,8A.d08.total,8A.d10.total,8A.d12.total,8A.d14.total,8A.d32.spore,8A.d32.total,8B.d-1.total,8B.d00.total,8B.d08.total,8B.d10.total,8B.d12.total,8B.d14.spore,8B.d14.total,8B.d32.spore,8B.d32.total,8C.d-1.spore,8C.d-1.total,8C.d00.total,8C.d08.total,8C.d10.total,8C.d12.total,8C.d14.spore,8C.d14.total,8C.d32.spore,8C.d32.total,8D.d-1.total,8D.d00.total,8D.d08.total,8D.d10.total,8D.d12.total,8D.d14.spore,8D.d14.total,8D.d32.spore,8D.d32.total
0bb1c8431343726b5826ba41bceb2deb,10484.0,33.0,4.0,0.0,9.0,32.0,17174.0,15.0,18686.0,32.0,27.0,56.0,134.0,195.0,51.0,58441.0,1389.0,15779.0,34.0,26347.0,340.0,247.0,43.0,63.0,37.0,45663.0,216.0,69629.0,1614.0,0.0,42943.0,260.0,1006.0,1366.0,6.0,56589.0,955.0,11683.0,17.0,44601.0,106.0,420.0,100.0,171.0,344.0,64212.0,276.0,38189.0,193.0,153.0,55171.0,673.0,215.0,430.0,153.0,358.0,28264.0,501.0,395.0,7.0,0.0,5.0,9.0,6.0,60772.0,369.0,53537.0,66.0,544.0,32531.0,149.0,485.0,657.0,514.0,43265.0,253.0,78250.0,600.0,27.0,0.0,0.0,0.0,5.0,26.0,0.0,330.0,5.0,23.0,0.0,0.0,0.0,3.0,6.0,85280.0,650.0,0.0,0.0,13.0,0.0,0.0,239.0,3.0,2212.0,0.0,24.0,46.0,10.0,0.0,0.0,23.0,0.0,32104.0,1454.0,36284.0,363.0,230.0,0.0,0.0,0.0,0.0,67867.0,515.0,6740.0,33.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,24637.0,48.0,46.0,10.0,0.0,0.0,0.0,39.0,0.0,19896.0,43.0,33.0,0.0,0.0,0.0,0.0,68192.0,2305.0,16525.0,60.0,152.0,18.0,0.0,224.0,4347.0,14612.0,239.0,17689.0,250.0,57.0,5.0,0.0,0.0,36601.0,1184.0,53228.0,1785.0,20981.0,303.0,0.0,0.0,0.0,0.0,0.0,49297.0,4244.0,15495.0,832.0,276.0,0.0,0.0,0.0,43.0,870.0,0.0,103.0,28.0,0.0,0.0,0.0,0.0,44781.0,242.0,40.0,0.0,11.0,0.0,0.0,70.0,0.0,1690.0,10.0,26866.0,299.0,265.0,8.0,0.0,3.0,93.0,0.0,8967.0,245.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,22882.0,7.0
674bcc25bda24c8605708627191930c6,28.0,5570.0,11748.0,10457.0,7959.0,7088.0,17.0,8556.0,87.0,9331.0,3281.0,5346.0,13470.0,14925.0,16898.0,16.0,18395.0,11.0,7216.0,102.0,11856.0,11131.0,9897.0,14482.0,10415.0,81.0,12972.0,102.0,12304.0,28.0,11.0,8424.0,17586.0,15152.0,6789.0,45.0,20742.0,6.0,6980.0,186.0,4017.0,9416.0,6159.0,11792.0,9513.0,31.0,11654.0,148.0,14974.0,7320.0,15.0,20279.0,15013.0,20148.0,14289.0,23591.0,172.0,14891.0,306.0,4962.0,4103.0,7010.0,8248.0,8405.0,0.0,8173.0,764.0,3947.0,13085.0,556.0,7690.0,10637.0,15522.0,16107.0,447.0,12614.0,157.0,14579.0,1024.0,4981.0,2155.0,7110.0,3770.0,0.0,4144.0,176.0,2687.0,3609.0,2790.0,8389.0,8291.0,7656.0,6648.0,14.0,10593.0,4171.0,2525.0,1227.0,85.0,51.0,39.0,2453.0,24.0,51.0,10854.0,7367.0,290.0,59.0,240.0,117.0,8696.0,76.0,732.0,412.0,11383.0,12126.0,6208.0,2170.0,2672.0,29227.0,12.0,16797.0,73.0,4863.0,8970.0,1699.0,1096.0,1973.0,2228.0,59.0,5226.0,154.0,4938.0,8647.0,235.0,39.0,10245.0,110.0,11.0,32234.0,16.0,7632.0,9325.0,164.0,39.0,28.0,37.0,69.0,26.0,16.0,3939.0,3717.0,115.0,20.0,25.0,30.0,26.0,64.0,170.0,4764.0,10738.0,181.0,18.0,13.0,0.0,12.0,474.0,55819.0,96.0,13932.0,9337.0,123.0,25.0,20.0,11.0,53.0,375.0,27.0,13676.0,14995.0,95.0,35.0,30.0,30.0,43.0,34.0,5301.0,4421.0,2296.0,4396.0,3309.0,6205.0,30.0,8633.0,11850.0,10183.0,602.0,39.0,19.0,8.0,49.0,129.0,26.0,22.0,8857.0,9651.0,897.0,406.0,26.0,0.0,22.0,11.0,22.0,2540.0,6582.0,1310.0,3625.0,3929.0,70.0,4800.0,436.0,2937.0
686b1c1752a35be01421dfdacfa244e1,17.0,629.0,1139.0,395.0,1232.0,1231.0,2.0,1855.0,0.0,4320.0,8187.0,4476.0,5245.0,4532.0,1840.0,0.0,4333.0,33.0,3443.0,30.0,1290.0,628.0,1223.0,5930.0,8305.0,63.0,7581.0,177.0,7291.0,13.0,20.0,3552.0,6774.0,6299.0,3972.0,41.0,7661.0,0.0,2491.0,153.0,3815.0,3401.0,4992.0,3779.0,3428.0,35.0,1087.0,0.0,551.0,221.0,9.0,1045.0,21.0,2319.0,1033.0,1100.0,186.0,7673.0,548.0,6052.0,3440.0,6002.0,3872.0,6356.0,0.0,8603.0,475.0,2600.0,2958.0,390.0,3390.0,8409.0,3453.0,3822.0,128.0,4305.0,67.0,4862.0,15115.0,18402.0,17143.0,16583.0,19824.0,0.0,20133.0,437.0,19165.0,8213.0,9278.0,12657.0,22344.0,20544.0,15528.0,33.0,28672.0,10193.0,23663.0,2589.0,87.0,144.0,137.0,11649.0,58.0,17.0,8292.0,10369.0,826.0,75.0,77.0,37.0,5213.0,299.0,30085.0,75.0,780.0,1139.0,6784.0,4405.0,2873.0,408.0,0.0,158.0,118.0,8723.0,143.0,19784.0,20291.0,21373.0,8720.0,43.0,15263.0,45.0,4945.0,4519.0,306.0,129.0,32.0,15.0,0.0,17.0,64.0,4528.0,3118.0,348.0,31.0,9.0,18.0,62.0,20.0,40.0,5904.0,12152.0,250.0,40.0,40.0,56.0,87.0,21.0,26.0,2301.0,1510.0,228.0,13.0,11.0,14.0,17.0,15.0,29.0,7.0,1502.0,213.0,135.0,0.0,12.0,7.0,139.0,25.0,0.0,954.0,6665.0,63.0,25.0,37.0,21.0,32.0,23.0,11309.0,12752.0,21459.0,14331.0,17598.0,30889.0,150.0,39243.0,3144.0,4546.0,4133.0,129.0,22.0,9.0,47.0,39.0,26.0,18.0,4331.0,3097.0,794.0,2326.0,12.0,11.0,32.0,45.0,15.0,12935.0,18594.0,21209.0,19643.0,15134.0,146.0,17729.0,162.0,60.0
27bbeb5ba76402142c02f75a17004f43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,38.0,63.0,0.0,0.0,0.0,0.0,0.0,55.0,66.0,0.0,47.0,0.0,110.0,57.0,24.0,0.0,49.0,0.0,0.0,14.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,34.0,0.0,0.0,53.0,23.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,26.0,0.0,117.0,0.0,63729.0,1408.0,13376.0,0.0,0.0,0.0,0.0,65.0,0.0,49520.0,18121.0,33578.0,24.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,60.0,57431.0,66978.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,28.0,41.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1895.0,94.0,0.0,0.0,0.0,0.0,0.0,25.0,46.0,5336.0,35.0,54.0,0.0,0.0,0.0,0.0,45.0,74.0,87.0,1511.0,352.0,0.0,49.0,0.0,0.0,17.0,30.0,52.0,7910.0,513.0,87.0,40.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,24.0,280.0,0.0,781.0,0.0,58722.0,0.0,55.0,0.0,0.0,58.0,92.0,0.0,75215.0,26280.0,23403.0,0.0,79.0,16.0,39.0,0.0,0.0,36.0,0.0,89.0,0.0,45.0
5323c6dd766d629cc750b0aabb4aaf72,8.0,62.0,654.0,553.0,57.0,98.0,0.0,1311.0,8.0,699.0,472.0,781.0,1661.0,503.0,5521.0,0.0,202.0,5.0,186.0,30.0,227.0,176.0,14.0,449.0,1406.0,0.0,53.0,0.0,1010.0,0.0,0.0,333.0,1135.0,1398.0,61.0,0.0,2016.0,0.0,117.0,7.0,241.0,436.0,52.0,69.0,35.0,0.0,147.0,43.0,1014.0,169.0,4.0,372.0,22.0,63.0,271.0,481.0,0.0,1350.0,0.0,114.0,285.0,1226.0,1087.0,753.0,0.0,1286.0,0.0,88.0,1094.0,0.0,243.0,1085.0,1795.0,993.0,0.0,10.0,0.0,98.0,437.0,2001.0,432.0,1489.0,614.0,0.0,188.0,0.0,1115.0,160.0,55.0,1662.0,1961.0,1747.0,85.0,0.0,3286.0,1423.0,741.0,27562.0,9904.0,2714.0,0.0,822.0,0.0,2473.0,1042.0,469.0,41947.0,5338.0,5156.0,0.0,138.0,0.0,1733.0,0.0,18.0,12.0,601.0,39.0,60.0,604.0,0.0,1650.0,0.0,0.0,100.0,126.0,151.0,674.0,148.0,0.0,1244.0,0.0,62.0,33.0,17629.0,4386.0,212.0,1201.0,0.0,1418.0,0.0,512.0,193.0,17692.0,3202.0,1941.0,2292.0,0.0,413.0,15.0,384.0,206.0,21774.0,2457.0,70.0,2625.0,0.0,577.0,0.0,383.0,550.0,22907.0,941.0,1816.0,0.0,44.0,14.0,256.0,0.0,37.0,142.0,33499.0,2450.0,1422.0,1265.0,8.0,2532.0,0.0,241.0,195.0,32313.0,2298.0,2918.0,1348.0,55.0,376.0,600.0,682.0,1018.0,1319.0,888.0,2418.0,13.0,629.0,533.0,778.0,52925.0,5095.0,1497.0,0.0,2164.0,106.0,84.0,0.0,931.0,1052.0,30166.0,4688.0,4589.0,0.0,1938.0,0.0,3586.0,385.0,1379.0,773.0,339.0,913.0,0.0,1438.0,0.0,14.0
e6f9b730f681ecbfdeef094010164718,0.0,360.0,681.0,151.0,29.0,0.0,0.0,18.0,0.0,12.0,4.0,14.0,31.0,19.0,27.0,0.0,57.0,0.0,282.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,17.0,31.0,0.0,0.0,9.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,223.0,0.0,40.0,200.0,0.0,269.0,65.0,647.0,1593.0,395.0,132.0,0.0,0.0,10.0,0.0,13.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,29.0,0.0,0.0,4044.0,812.0,5301.0,4987.0,4259.0,1967.0,3696.0,13210.0,5925.0,5324.0,3771.0,6229.0,4426.0,4351.0,10545.0,388.0,5168.0,4655.0,1832.0,1319.0,0.0,0.0,0.0,0.0,10.0,20.0,636.0,1210.0,379.0,56.0,28.0,0.0,0.0,0.0,55.0,122.0,461.0,1765.0,2953.0,716.0,15.0,22.0,13.0,32.0,0.0,14.0,33.0,5696.0,9005.0,3088.0,8663.0,908.0,3705.0,61.0,92.0,92.0,80.0,37.0,0.0,0.0,1321.0,10658.0,0.0,141.0,66.0,148.0,0.0,0.0,0.0,0.0,0.0,433.0,2630.0,1243.0,94.0,19.0,28.0,176.0,1324.0,13577.0,164.0,1139.0,1528.0,105.0,0.0,0.0,0.0,63.0,0.0,25.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,273.0,10140.0,0.0,23.0,85.0,57.0,23.0,25.0,11.0,21.0,13.0,953.0,1078.0,2606.0,3782.0,3391.0,4306.0,441.0,2168.0,0.0,0.0,317.0,0.0,0.0,0.0,21.0,37.0,23.0,0.0,71.0,50.0,34.0,152.0,0.0,0.0,0.0,0.0,0.0,2111.0,713.0,9064.0,3888.0,2268.0,6414.0,5800.0,14944.0,19824.0
ddbb3a2a7d6486a2201bb8770feb0a6d,0.0,0.0,55.0,45.0,16.0,0.0,33.0,165.0,0.0,21.0,7.0,11.0,56.0,42.0,1895.0,0.0,94.0,0.0,24.0,0.0,436.0,0.0,0.0,45.0,38.0,0.0,32.0,0.0,37.0,0.0,0.0,147.0,183.0,86.0,0.0,0.0,316.0,0.0,0.0,0.0,15.0,74.0,4.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,57.0,6.0,16.0,14.0,67.0,0.0,49.0,21.0,0.0,11.0,40.0,67.0,18.0,0.0,27.0,0.0,0.0,0.0,0.0,15.0,27.0,31.0,31.0,0.0,0.0,0.0,0.0,25.0,32.0,16.0,65.0,28.0,0.0,14.0,0.0,39.0,23.0,9.0,72.0,163.0,162.0,5.0,0.0,132.0,168.0,18.0,17427.0,4767.0,628.0,0.0,105.0,0.0,328.0,50.0,0.0,20500.0,2022.0,777.0,0.0,40.0,0.0,181.0,0.0,10.0,0.0,17.0,0.0,0.0,26.0,0.0,336.0,0.0,0.0,0.0,10.0,12.0,61.0,0.0,0.0,69.0,0.0,19.0,0.0,10823.0,2849.0,126.0,384.0,0.0,204.0,0.0,28.0,53.0,11861.0,1777.0,454.0,604.0,0.0,387.0,0.0,123.0,0.0,13228.0,919.0,52.0,1250.0,0.0,52.0,0.0,20.0,17.0,16692.0,793.0,249.0,0.0,27.0,0.0,52.0,0.0,26.0,11.0,20447.0,968.0,229.0,116.0,0.0,411.0,0.0,173.0,48.0,20077.0,1534.0,521.0,247.0,0.0,44.0,21.0,0.0,30.0,177.0,160.0,204.0,0.0,85.0,31.0,41.0,54331.0,3235.0,287.0,0.0,793.0,0.0,26.0,0.0,18.0,44.0,15455.0,2281.0,1502.0,0.0,357.0,0.0,628.0,44.0,0.0,25.0,22.0,195.0,0.0,37.0,0.0,3.0
aa18f1f0f79b19771025041b36843ee6,8213.0,67.0,86.0,89.0,163.0,102.0,3524.0,87.0,5126.0,195.0,21.0,105.0,275.0,620.0,168.0,6759.0,890.0,72.0,41.0,316.0,80.0,62.0,26.0,36.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,405.0,0.0,8835.0,618.0,272.0,26.0,532.0,13.0,68.0,69.0,57.0,75.0,2830.0,132.0,7334.0,160.0,117.0,4442.0,615.0,1352.0,433.0,248.0,475.0,262.0,171.0,29454.0,294.0,0.0,30.0,0.0,0.0,32.0,0.0,2112.0,9.0,153.0,21351.0,162.0,376.0,222.0,198.0,8570.0,197.0,125.0,207.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,61.0,0.0,10955.0,474.0,327.0,0.0,0.0,0.0,0.0,960.0,558.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9951.0,117.0,129.0,201.0,0.0,0.0,0.0,0.0,0.0,14835.0,416.0,777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20542.0,754.0,4209.0,327.0,630.0,22.0,0.0,0.0,0.0,0.0,4745.0,368.0,13719.0,1385.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,133.0,57.0,0.0,0.0,0.0,0.0,389.0,74.0,389.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847.0,602.0,645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
460722ee5388ac587752bad3c5fd0867,0.0,766.0,1608.0,1814.0,1301.0,700.0,9.0,1215.0,28.0,1388.0,699.0,1152.0,2797.0,3127.0,2530.0,13.0,3421.0,9.0,958.0,26.0,920.0,1187.0,813.0,1044.0,1079.0,37.0,1570.0,28.0,2571.0,0.0,0.0,865.0,1613.0,2019.0,317.0,21.0,1845.0,0.0,750.0,63.0,789.0,1488.0,971.0,1835.0,1927.0,0.0,1395.0,14.0,2141.0,968.0,0.0,2897.0,5854.0,3910.0,1018.0,1947.0,235.0,1240.0,217.0,1024.0,789.0,1383.0,1871.0,1347.0,0.0,1413.0,167.0,613.0,1789.0,139.0,1047.0,1216.0,2312.0,2310.0,104.0,1453.0,27.0,1521.0,1057.0,1269.0,956.0,2237.0,957.0,0.0,1270.0,98.0,923.0,940.0,564.0,1817.0,3201.0,1587.0,1365.0,0.0,2001.0,2081.0,1290.0,346.0,21.0,23.0,68.0,1753.0,28.0,9.0,1752.0,951.0,123.0,14.0,76.0,10.0,1111.0,19.0,2583.0,63.0,1056.0,1166.0,851.0,236.0,299.0,3650.0,0.0,3737.0,97.0,769.0,1855.0,921.0,881.0,1457.0,1399.0,18.0,1202.0,0.0,748.0,1285.0,53.0,19.0,0.0,5.0,0.0,7.0,30.0,1143.0,1244.0,64.0,0.0,0.0,0.0,58.0,7.0,0.0,1523.0,1602.0,56.0,0.0,0.0,15.0,90.0,9.0,57.0,885.0,1478.0,38.0,0.0,6.0,11.0,0.0,0.0,0.0,17.0,1496.0,926.0,18.0,4.0,0.0,0.0,0.0,9.0,0.0,980.0,765.0,28.0,0.0,7.0,0.0,0.0,0.0,1407.0,1135.0,1164.0,1912.0,1464.0,2966.0,29.0,2834.0,1678.0,1475.0,282.0,35.0,4.0,0.0,0.0,0.0,12.0,10.0,1698.0,1942.0,145.0,221.0,0.0,0.0,6.0,0.0,0.0,665.0,1807.0,858.0,1158.0,1307.0,33.0,1889.0,124.0,7283.0
a1a3200b76bcd6000a0914892d370b6e,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,5.0,0.0,0.0,0.0,20250.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13.0,0.0,27.0,0.0,0.0,4.0,0.0,0.0,28.0,0.0,0.0,46.0,0.0,0.0,11.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,49167.0,107.0,0.0,9.0,0.0,26.0,0.0,0.0,41.0,22961.0,88.0,0.0,0.0,0.0,0.0,32.0,11.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,13538.0,343.0,22.0,0.0,67.0,0.0,0.0,0.0,181.0,6756.0,34.0,7.0,0.0,21.0,0.0,0.0,0.0,46.0,1801.0,11.0,41.0,0.0,29.0,0.0,0.0,0.0,23.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1574.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,1185.0,47.0,0.0,14.0,6.0,0.0,0.0,0.0,0.0,7.0,10.0,44.0,0.0,0.0,0.0,0.0,8114.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,66.0,42275.0,967.0,26.0,119.0,42.0,52.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
