SampleID	Mouse	GroupSpore	GroupCat	Group	DateCat	EpochDateCat	EpochDate	SporeCat	Spore	DayCat	Day	Description	GroupDay	GroupSporeDay	Response	ResponseDay	GroupSporeResponseDay
#q2:types	categorical	categorical	categorical	numeric	categorical	categorical	numeric	categorical	numeric	categorical	numeric	categorical	categorical	categorical	categorical	categorical	categorical
0A.d-1.spore	0A	00.spore	00	00	3/3/16	16863	16863	spore	1	-1	-1	0A-03-03-16-spore	00.d-1	00.spore.d-1	cnt	cnt.d-1	00.spore.cnt.d-1
0A.d-1.total	0A	00.total	00	00	3/3/16	16863	16863	total	0	-1	-1	0A-03-03-16	00.d-1	00.total.d-1	cnt	cnt.d-1	00.total.cnt.d-1
0A.d00.total	0A	00.total	00	00	3/4/16	16864	16864	total	0	00	00	0A-03-04-16	00.d00	00.total.d00	cnt	cnt.d00	00.total.cnt.d00
0A.d02.total	0A	00.total	00	00	3/6/16	16866	16866	total	0	02	02	0A-03-06-16	00.d02	00.total.d02	cnt	cnt.d02	00.total.cnt.d02
0A.d04.total	0A	00.total	00	00	3/8/16	16868	16868	total	0	04	04	0A-03-08-16	00.d04	00.total.d04	cnt	cnt.d04	00.total.cnt.d04
0A.d06.total	0A	00.total	00	00	3/10/16	16870	16870	total	0	06	06	0A-03-10-16	00.d06	00.total.d06	cnt	cnt.d06	00.total.cnt.d06
0A.d08.spore	0A	00.spore	00	00	3/12/16	16872	16872	spore	1	08	08	0A-03-12-16-spore	00.d08	00.spore.d08	cnt	cnt.d08	00.spore.cnt.d08
0A.d08.total	0A	00.total	00	00	3/12/16	16872	16872	total	0	08	08	0A-03-12-16	00.d08	00.total.d08	cnt	cnt.d08	00.total.cnt.d08
0A.d10.spore	0A	00.spore	00	00	3/14/16	16874	16874	spore	1	10	10	0A-03-14-16-spore	00.d10	00.spore.d10	cnt	cnt.d10	00.spore.cnt.d10
0A.d10.total	0A	00.total	00	00	3/14/16	16874	16874	total	0	10	10	0A-03-14-16	00.d10	00.total.d10	cnt	cnt.d10	00.total.cnt.d10
0A.d12.total	0A	00.total	00	00	3/16/16	16876	16876	total	0	12	12	0A-03-16-16	00.d12	00.total.d12	cnt	cnt.d12	00.total.cnt.d12
0A.d14.total	0A	00.total	00	00	3/18/16	16878	16878	total	0	14	14	0A-03-18-16	00.d14	00.total.d14	cnt	cnt.d14	00.total.cnt.d14
0A.d16.total	0A	00.total	00	00	3/20/16	16880	16880	total	0	16	16	0A-03-20-16	00.d16	00.total.d16	cnt	cnt.d16	00.total.cnt.d16
0A.d18.total	0A	00.total	00	00	3/22/16	16882	16882	total	0	18	18	0A-03-22-16	00.d18	00.total.d18	cnt	cnt.d18	00.total.cnt.d18
0A.d20.total	0A	00.total	00	00	3/24/16	16884	16884	total	0	20	20	0A-03-24-16	00.d20	00.total.d20	cnt	cnt.d20	00.total.cnt.d20
0A.d24.spore	0A	00.spore	00	00	3/28/16	16888	16888	spore	1	24	24	0A-03-28-16-spore	00.d24	00.spore.d24	cnt	cnt.d24	00.spore.cnt.d24
0A.d24.total	0A	00.total	00	00	3/28/16	16888	16888	total	0	24	24	0A-03-28-16	00.d24	00.total.d24	cnt	cnt.d24	00.total.cnt.d24
0A.d32.spore	0A	00.spore	00	00	4/5/16	16896	16896	spore	1	32	32	0A-04-05-16-spore	00.d32	00.spore.d32	cnt	cnt.d32	00.spore.cnt.d32
0A.d32.total	0A	00.total	00	00	4/5/16	16896	16896	total	0	32	32	0A-04-05-16	00.d32	00.total.d32	cnt	cnt.d32	00.total.cnt.d32
0B.d-1.spore	0B	00.spore	00	00	3/3/16	16863	16863	spore	1	-1	-1	0B-03-03-16-spore	00.d-1	00.spore.d-1	cnt	cnt.d-1	00.spore.cnt.d-1
0B.d-1.total	0B	00.total	00	00	3/3/16	16863	16863	total	0	-1	-1	0B-03-03-16	00.d-1	00.total.d-1	cnt	cnt.d-1	00.total.cnt.d-1
0B.d00.total	0B	00.total	00	00	3/4/16	16864	16864	total	0	00	00	0B-03-04-16	00.d00	00.total.d00	cnt	cnt.d00	00.total.cnt.d00
0B.d02.total	0B	00.total	00	00	3/6/16	16866	16866	total	0	02	02	0B-03-06-16	00.d02	00.total.d02	cnt	cnt.d02	00.total.cnt.d02
0B.d04.total	0B	00.total	00	00	3/8/16	16868	16868	total	0	04	04	0B-03-08-16	00.d04	00.total.d04	cnt	cnt.d04	00.total.cnt.d04
0B.d06.total	0B	00.total	00	00	3/10/16	16870	16870	total	0	06	06	0B-03-10-16	00.d06	00.total.d06	cnt	cnt.d06	00.total.cnt.d06
0B.d08.spore	0B	00.spore	00	00	3/12/16	16872	16872	spore	1	08	08	0B-03-12-16-spore	00.d08	00.spore.d08	cnt	cnt.d08	00.spore.cnt.d08
0B.d08.total	0B	00.total	00	00	3/12/16	16872	16872	total	0	08	08	0B-03-12-16	00.d08	00.total.d08	cnt	cnt.d08	00.total.cnt.d08
0B.d10.spore	0B	00.spore	00	00	3/14/16	16874	16874	spore	1	10	10	0B-03-14-16-spore	00.d10	00.spore.d10	cnt	cnt.d10	00.spore.cnt.d10
0B.d10.total	0B	00.total	00	00	3/14/16	16874	16874	total	0	10	10	0B-03-14-16	00.d10	00.total.d10	cnt	cnt.d10	00.total.cnt.d10
0B.d12.total	0B	00.total	00	00	3/16/16	16876	16876	total	0	12	12	0B-03-16-16	00.d12	00.total.d12	cnt	cnt.d12	00.total.cnt.d12
0B.d14.spore	0B	00.spore	00	00	3/18/16	16878	16878	spore	1	14	14	0B-03-18-16-spore	00.d14	00.spore.d14	cnt	cnt.d14	00.spore.cnt.d14
0B.d14.total	0B	00.total	00	00	3/18/16	16878	16878	total	0	14	14	0B-03-18-16	00.d14	00.total.d14	cnt	cnt.d14	00.total.cnt.d14
0B.d16.total	0B	00.total	00	00	3/20/16	16880	16880	total	0	16	16	0B-03-20-16	00.d16	00.total.d16	cnt	cnt.d16	00.total.cnt.d16
0B.d18.total	0B	00.total	00	00	3/22/16	16882	16882	total	0	18	18	0B-03-22-16	00.d18	00.total.d18	cnt	cnt.d18	00.total.cnt.d18
0B.d20.total	0B	00.total	00	00	3/24/16	16884	16884	total	0	20	20	0B-03-24-16	00.d20	00.total.d20	cnt	cnt.d20	00.total.cnt.d20
0B.d24.spore	0B	00.spore	00	00	3/28/16	16888	16888	spore	1	24	24	0B-03-28-16-spore	00.d24	00.spore.d24	cnt	cnt.d24	00.spore.cnt.d24
0B.d24.total	0B	00.total	00	00	3/28/16	16888	16888	total	0	24	24	0B-03-28-16	00.d24	00.total.d24	cnt	cnt.d24	00.total.cnt.d24
0B.d32.spore	0B	00.spore	00	00	4/5/16	16896	16896	spore	1	32	32	0B-04-05-16-spore	00.d32	00.spore.d32	cnt	cnt.d32	00.spore.cnt.d32
