url,target,description
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR867/002/SRR8670222/SRR8670222.fastq.gz,data/rnaseq/raw/01-13-A6D25_S1_L001_R1_001.fastq.gz,forward reads for A6D25_L1
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR867/003/SRR8670223/SRR8670223.fastq.gz,data/rnaseq/raw/01-13-A6D25_S1_L002_R1_001.fastq.gz,forward reads for A6D25_L2
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR867/000/SRR8670220/SRR8670220.fastq.gz,data/rnaseq/raw/01-13-A6D25_S1_L003_R1_001.fastq.gz,forward reads for A6D25_L3
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR867/001/SRR8670221/SRR8670221.fastq.gz,data/rnaseq/raw/01-13-A6D25_S1_L004_R1_001.fastq.gz,forward reads for A6D25_L4
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR867/006/SRR8670226/SRR8670226.fastq.gz,data/rnaseq/raw/02-21-A4D20_S2_L001_R1_001.fastq.gz,forward reads for A4D20_L1
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR867/007/SRR8670227/SRR8670227.fastq.gz,data/rnaseq/raw/02-21-A4D20_S2_L002_R1_001.fastq.gz,forward reads for A4D20_L2
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR867/004/SRR8670224/SRR8670224.fastq.gz,data/rnaseq/raw/02-21-A4D20_S2_L003_R1_001.fastq.gz,forward reads for A4D20_L3
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR867/005/SRR8670225/SRR8670225.fastq.gz,data/rnaseq/raw/02-21-A4D20_S2_L004_R1_001.fastq.gz,forward reads for A4D20_L4
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR867/007/SRR8670217/SRR8670217.fastq.gz,data/rnaseq/raw/03-16-C2D25_S3_L001_R1_001.fastq.gz,forward reads for C2D25_L1
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR867/008/SRR8670218/SRR8670218.fastq.gz,data/rnaseq/raw/03-16-C2D25_S3_L002_R1_001.fastq.gz,forward reads for C2D25_L2
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR867/009/SRR8670169/SRR8670169.fastq.gz,data/rnaseq/raw/03-16-C2D25_S3_L003_R1_001.fastq.gz,forward reads for C2D25_L3
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR867/000/SRR8670170/SRR8670170.fastq.gz,data/rnaseq/raw/03-16-C2D25_S3_L004_R1_001.fastq.gz,forward reads for C2D25_L4
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR867/007/SRR8670167/SRR8670167.fastq.gz,data/rnaseq/raw/04-3-C6D25_S4_L001_R1_001.fastq.gz,forward reads for C6D25_L1
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR867/008/SRR8670168/SRR8670168.fastq.gz,data/rnaseq/raw/04-3-C6D25_S4_L002_R1_001.fastq.gz,forward reads for C6D25_L2
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR867/003/SRR8670173/SRR8670173.fastq.gz,data/rnaseq/raw/04-3-C6D25_S4_L003_R1_001.fastq.gz,forward reads for C6D25_L3
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR867/004/SRR8670174/SRR8670174.fastq.gz,data/rnaseq/raw/04-3-C6D25_S4_L004_R1_001.fastq.gz,forward reads for C6D25_L4
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR867/001/SRR8670171/SRR8670171.fastq.gz,data/rnaseq/raw/05-2-A5D25_S5_L001_R1_001.fastq.gz,forward reads for A5D25_L1
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR867/002/SRR8670172/SRR8670172.fastq.gz,data/rnaseq/raw/05-2-A5D25_S5_L002_R1_001.fastq.gz,forward reads for A5D25_L2
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR867/003/SRR8670163/SRR8670163.fastq.gz,data/rnaseq/raw/05-2-A5D25_S5_L003_R1_001.fastq.gz,forward reads for A5D25_L3
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR867/004/SRR8670164/SRR8670164.fastq.gz,data/rnaseq/raw/05-2-A5D25_S5_L004_R1_001.fastq.gz,forward reads for A5D25_L4
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR867/004/SRR8670204/SRR8670204.fastq.gz,data/rnaseq/raw/06-25-A6D20_S6_L001_R1_001.fastq.gz,forward reads for A6D20_L1
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR867/003/SRR8670203/SRR8670203.fastq.gz,data/rnaseq/raw/06-25-A6D20_S6_L002_R1_001.fastq.gz,forward reads for A6D20_L2
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR867/002/SRR8670202/SRR8670202.fastq.gz,data/rnaseq/raw/06-25-A6D20_S6_L003_R1_001.fastq.gz,forward reads for A6D20_L3
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR867/001/SRR8670201/SRR8670201.fastq.gz,data/rnaseq/raw/06-25-A6D20_S6_L004_R1_001.fastq.gz,forward reads for A6D20_L4
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR867/008/SRR8670208/SRR8670208.fastq.gz,data/rnaseq/raw/07-12-C7D29_S7_L001_R1_001.fastq.gz,forward reads for C7D29_L1
