Compound,Replicate,Precursor Mz,Precursor Charge,Product Mz,Product Charge,Fragment Ion,Retention Time,Area,Peak Rank
Cefoperazone,4_A1D27_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.6,484458,1
Cefoperazone,4_A1D27_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.57,493582,1
Cefoperazone,4_A1D27_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.57,501532,1
Cefoperazone,4_A1D32_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.6,73043,1
Cefoperazone,4_A1D32_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.6,70457,1
Cefoperazone,4_A1D32_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.6,72890,1
Cefoperazone,4_A2D27_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.6,563551,1
Cefoperazone,4_A2D27_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.57,543840,1
Cefoperazone,4_A2D27_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.57,533961,1
Cefoperazone,4_A2D32_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.6,81239,1
Cefoperazone,4_A2D32_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.6,81085,1
Cefoperazone,4_A2D32_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.6,78836,1
Cefoperazone,4_A3D27_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.57,1370282,1
Cefoperazone,4_A3D27_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.57,1328336,1
Cefoperazone,4_A3D27_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.57,1334306,1
Cefoperazone,4_A3D32_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.6,46202,1
Cefoperazone,4_A3D32_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.62,46226,1
Cefoperazone,4_A3D32_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.65,45938,1
Cefoperazone,4_B1D27_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.6,434,1
Cefoperazone,4_B1D27_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.6,353,1
Cefoperazone,4_B1D27_r03,646.1,1,530.1339,1,Cefoperazone_t1,4.95,0,0
Cefoperazone,4_B1D32_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.52,397,1
Cefoperazone,4_B1D32_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.03,132,1
Cefoperazone,4_B1D32_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.4,220,1
Cefoperazone,4_B2D27_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.7,250,1
Cefoperazone,4_B2D27_r02,646.1,1,530.1339,1,Cefoperazone_t1,5.34,73,2
Cefoperazone,4_B2D27_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.62,309,1
Cefoperazone,4_B2D32_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.43,184,2
Cefoperazone,4_B2D32_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.65,206,1
Cefoperazone,4_B2D32_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.45,287,1
Cefoperazone,4_B3D27_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.62,1265,1
Cefoperazone,4_B3D27_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.6,2043,1
Cefoperazone,4_B3D27_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.62,1720,1
Cefoperazone,4_B3D32_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.7,176,1
Cefoperazone,4_B3D32_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.4,220,1
Cefoperazone,4_B3D32_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.6,345,1
Cefoperazone,4_C1D27_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.6,555812,1
Cefoperazone,4_C1D27_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.6,609277,1
Cefoperazone,4_C1D27_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.57,580464,1
Cefoperazone,4_C1D32_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.6,74073,1
Cefoperazone,4_C1D32_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.62,74110,1
Cefoperazone,4_C1D32_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.62,75278,1
