Compound,Replicate,Precursor Mz,Precursor Charge,Product Mz,Product Charge,Fragment Ion,Retention Time,Area,Peak Rank
Cefoperazone,6_A1D27_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.67,1381573,1
Cefoperazone,6_A1D27_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.65,1444900,1
Cefoperazone,6_A1D27_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.67,1399683,1
Cefoperazone,6_A1D32_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.7,209893,1
Cefoperazone,6_A1D32_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.67,206623,1
Cefoperazone,6_A1D32_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.67,196893,1
Cefoperazone,6_A2D27_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.67,1423791,1
Cefoperazone,6_A2D27_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.65,1465413,1
Cefoperazone,6_A2D27_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.65,1403402,1
Cefoperazone,6_A2D32_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.65,245910,1
Cefoperazone,6_A2D32_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.65,244558,1
Cefoperazone,6_A2D32_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.67,246043,1
Cefoperazone,6_A3D27_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.67,3792798,1
Cefoperazone,6_A3D27_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.65,3828815,1
Cefoperazone,6_A3D27_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.67,3762350,1
Cefoperazone,6_A3D32_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.67,142958,1
Cefoperazone,6_A3D32_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.67,134792,1
Cefoperazone,6_A3D32_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.65,138825,1
Cefoperazone,6_B1D27_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.7,868,1
Cefoperazone,6_B1D27_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.7,963,1
Cefoperazone,6_B1D27_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.65,713,1
Cefoperazone,6_B1D32_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.5,7,6
Cefoperazone,6_B1D32_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.7,323,1
Cefoperazone,6_B1D32_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.67,213,1
Cefoperazone,6_B2D27_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.7,610,1
Cefoperazone,6_B2D27_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.65,456,1
Cefoperazone,6_B2D27_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.65,221,1
Cefoperazone,6_B2D32_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.7,301,1
Cefoperazone,6_B2D32_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.67,169,1
Cefoperazone,6_B2D32_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.77,316,1
Cefoperazone,6_B3D27_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.65,3440,1
Cefoperazone,6_B3D27_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.65,3420,1
Cefoperazone,6_B3D27_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.67,4329,1
Cefoperazone,6_B3D32_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.77,368,1
Cefoperazone,6_B3D32_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.74,118,1
Cefoperazone,6_B3D32_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.65,88,1
Cefoperazone,6_C1D27_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.65,1769688,1
Cefoperazone,6_C1D27_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.67,1727686,1
Cefoperazone,6_C1D27_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.65,1740306,1
Cefoperazone,6_C1D32_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.67,203074,1
Cefoperazone,6_C1D32_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.67,189023,1
Cefoperazone,6_C1D32_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.65,200267,1
Cefoperazone,6_C2D27_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.65,1419932,1
Cefoperazone,6_C2D27_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.67,1416794,1
Cefoperazone,6_C2D27_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.65,1397595,1
Cefoperazone,6_C2D32_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.65,236392,1
Cefoperazone,6_C2D32_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.72,218706,1
Cefoperazone,6_C2D32_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.67,210784,1
Cefoperazone,6_C3D27_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.67,1457248,1
Cefoperazone,6_C3D27_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.72,1390342,1
Cefoperazone,6_C3D27_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.65,1440939,1
Cefoperazone,6_C3D32_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.7,117152,1
Cefoperazone,6_C3D32_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.65,118608,1
Cefoperazone,6_C3D32_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.67,114697,1
Cefoperazone,6_D1D27_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.62,316,1
Cefoperazone,6_D1D27_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.67,470,1
Cefoperazone,6_D1D27_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.7,529,1
Cefoperazone,6_D2D27_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.65,309,1
Cefoperazone,6_D2D27_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.7,81,2
Cefoperazone,6_D2D27_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.65,279,1
Cefoperazone,6_D3D27_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.7,661,1
Cefoperazone,6_D3D27_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.7,669,1
Cefoperazone,6_D3D27_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.67,728,1
Cefoperazone,7_A1D15_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.67,16677,1
Cefoperazone,7_A1D15_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.72,15920,1
Cefoperazone,7_A1D15_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.67,15883,1
Cefoperazone,7_A1D33_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.67,25130,1
Cefoperazone,7_A1D33_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.67,23079,1
Cefoperazone,7_A1D33_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.65,23491,1
Cefoperazone,7_A2D33_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.67,31965,1
Cefoperazone,7_A2D33_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.67,33568,1
Cefoperazone,7_A2D33_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.65,33568,1
Cefoperazone,7_A3D33_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.67,14987,1
Cefoperazone,7_A3D33_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.7,16148,1
Cefoperazone,7_A3D33_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.67,16780,1
Cefoperazone,7_A4D15_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.67,17037,1
Cefoperazone,7_A4D15_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.67,17419,1
Cefoperazone,7_A4D15_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.7,17412,1
Cefoperazone,7_A4D32_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.7,222998,1
Cefoperazone,7_A4D32_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.65,224228,1
Cefoperazone,7_A4D32_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.67,216010,1
Cefoperazone,7_A4D33_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.74,33082,1
Cefoperazone,7_A4D33_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.7,34796,1
Cefoperazone,7_A4D33_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.72,33450,1
Cefoperazone,7_A5D15_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.67,17368,1
Cefoperazone,7_A5D15_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.67,15821,1
Cefoperazone,7_A5D15_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.79,17390,1
Cefoperazone,7_A5D32_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.65,17552,1
Cefoperazone,7_A5D32_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.7,16604,1
Cefoperazone,7_A5D32_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.67,15365,1
Cefoperazone,7_A5D33_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.67,15920,1
Cefoperazone,7_A5D33_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.65,16089,1
Cefoperazone,7_A5D33_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.65,16861,1
Cefoperazone,7_C1D15_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.67,16129,1
Cefoperazone,7_C1D15_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.67,15023,1
Cefoperazone,7_C1D15_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.67,17236,1
Cefoperazone,7_C1D33_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.67,42461,1
Cefoperazone,7_C1D33_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.67,36515,1
Cefoperazone,7_C1D33_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.65,39051,1
Cefoperazone,7_C2D33_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.67,30378,1
Cefoperazone,7_C2D33_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.67,30951,1
Cefoperazone,7_C2D33_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.72,31230,1
Cefoperazone,7_C3D33_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.67,44107,1
Cefoperazone,7_C3D33_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.67,47239,1
Cefoperazone,7_C3D33_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.67,49510,1
Cefoperazone,7_C6D15_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.67,17324,1
Cefoperazone,7_C6D15_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.7,16155,1
Cefoperazone,7_C6D15_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.67,15288,1
Cefoperazone,7_C6D32_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.7,15773,1
Cefoperazone,7_C6D32_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.67,14906,1
Cefoperazone,7_C6D32_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.67,17089,1
Cefoperazone,7_C6D33_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.67,14039,1
Cefoperazone,7_C6D33_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.74,14472,1
Cefoperazone,7_C6D33_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.67,15626,1
Cefoperazone,7_C7D15_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.67,15795,1
Cefoperazone,7_C7D15_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.67,14134,1
Cefoperazone,7_C7D15_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.67,14987,1
Cefoperazone,7_C7D32_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.7,15847,1
Cefoperazone,7_C7D32_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.72,15281,1
Cefoperazone,7_C7D32_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.65,18015,1
Cefoperazone,7_C7D33_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.7,15648,1
Cefoperazone,7_C7D33_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.72,16265,1
Cefoperazone,7_C7D33_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.67,16155,1
Cefoperazone,7_D1D32_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.65,17633,1
