id,day,response,cefoperazone,pellet_weight_gram,batch
A1D27,27,responder,1,0.03,1
A2D27,27,responder,1,0.11,1
A3D27,27,responder,1,0.07,1
B1D27,27,control,0,0.04,1
B2D27,27,control,0,0.04,1
B3D27,27,control,0,0.05,1
C1D27,27,responder,1,0.06,1
C2D27,27,responder,1,0.04,1
C3D27,27,responder,1,0.06,1
D1D27,27,control,0,0.02,1
D2D27,27,control,0,0.04,1
D3D27,27,control,0,0.03,1
A1D32,32,responder,1,0.05,1
A2D32,32,responder,1,0.04,1
A3D32,32,responder,1,0.07,1
B1D32,32,control,0,0.03,1
B2D32,32,control,0,0.03,1
B3D32,32,control,0,0.05,1
C1D32,32,responder,1,0.08,1
C2D32,32,responder,1,0.04,1
C3D32,32,responder,1,0.04,1
D1D32,32,control,0,0.03,2
D2D32,32,control,0,0.03,2
D3D32,32,control,0,0.04,2
A4D32,32,non-responder,1,0.07,2
A5D32,32,non-responder,1,0.04,2
C6D32,32,non-responder,1,0.04,2
C7D32,32,non-responder,1,0.03,2
A1D33,33,responder,1,0.05,2
A2D33,33,responder,1,0.11,2
A3D33,33,responder,1,0.08,2
C1D33,33,responder,1,0.05,2
C2D33,33,responder,1,0.09,2
C3D33,33,responder,1,0.09,2
A4D33,33,non-responder,1,0.12,2
A5D33,33,non-responder,1,0.05,2
C6D33,33,non-responder,1,0.07,2
C7D33,33,non-responder,1,0.09,2
A1D15,15,responder,0,0.06,2
C1D15,15,responder,0,0.04,2
A4D15,15,non-responder,0,0.05,2
A5D15,15,non-responder,0,0.08,2
C6D15,15,non-responder,0,0.03,2
C7D15,15,non-responder,0,0.02,2
