Compound,Replicate,Precursor Mz,Precursor Charge,Product Mz,Product Charge,Fragment Ion,Retention Time,Area,Peak Rank
Cefoperazone,A1_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.72,65188,1
Cefoperazone,A1_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.7,64276,1
Cefoperazone,A1_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.72,65848,1
Cefoperazone,A10_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.67,43314,1
Cefoperazone,A10_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.72,43166,1
Cefoperazone,A10_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.7,43483,1
Cefoperazone,A2_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.67,40224,1
Cefoperazone,A2_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.72,40644,1
Cefoperazone,A2_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.7,39132,1
Cefoperazone,A3_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.72,69869,1
Cefoperazone,A3_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.67,69681,1
Cefoperazone,A3_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.7,69289,1
Cefoperazone,A9_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.67,72427,1
Cefoperazone,A9_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.67,70075,1
Cefoperazone,A9_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.72,70461,1
Cefoperazone,B1_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.67,5689,1
Cefoperazone,B1_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.7,6233,1
Cefoperazone,B1_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.67,5998,1
Cefoperazone,B2_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.72,6887,1
Cefoperazone,B2_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.67,6101,1
Cefoperazone,B2_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.7,6343,1
Cefoperazone,B3_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.74,7350,1
Cefoperazone,B3_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.72,7820,1
Cefoperazone,B3_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.67,6880,1
Cefoperazone,C1_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.7,32811,1
Cefoperazone,C1_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.7,33009,1
Cefoperazone,C1_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.7,34714,1
Cefoperazone,C2_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.72,21123,1
Cefoperazone,C2_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.7,20727,1
Cefoperazone,C2_r03,646.1,1,530.1339,1,Cefoperazone_t1,2.67,21616,1
Cefoperazone,C3_r01,646.1,1,530.1339,1,Cefoperazone_t1,2.72,37220,1
Cefoperazone,C3_r02,646.1,1,530.1339,1,Cefoperazone_t1,2.7,39793,1
