,sample-1,sample-10,sample-11,sample-12,sample-13,sample-14,sample-15,sample-16,sample-17,sample-18,sample-19,sample-2,sample-20,sample-21,sample-22,sample-23,sample-24,sample-25,sample-26,sample-27,sample-28,sample-29,sample-3,sample-30,sample-31,sample-32,sample-33,sample-34,sample-35,sample-36,sample-37,sample-38,sample-39,sample-4,sample-40,sample-41,sample-42,sample-43,sample-44,sample-45,sample-46,sample-47,sample-48,sample-49,sample-5,sample-50,sample-51,sample-52,sample-53,sample-54,sample-55,sample-56,sample-57,sample-58,sample-59,sample-6,sample-60,sample-61,sample-62,sample-63,sample-64,sample-65,sample-66,sample-67,sample-68,sample-69,sample-7,sample-70,sample-71,sample-72,sample-73,sample-74,sample-75,sample-76,sample-77,sample-78,sample-79,sample-8,sample-80,sample-81,sample-82,sample-83,sample-84,sample-85,sample-86,sample-87,sample-88,sample-89,sample-9,sample-90,sample-91,sample-92,sample-93,sample-94,sample-95,sample-96
70ea799368fbdbd01c7edc168e55e5da,0.0,0.0,0.0,47.0,0.0,586.0,442.0,159.0,671.0,0.0,0.0,0.0,0.0,39.0,10.0,208.0,37.0,5.0,52.0,0.0,0.0,35.0,0.0,0.0,18.0,77.0,51.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,30.0,0.0,0.0,0.0,109.0,153.0,0.0,0.0,0.0,87.0,0.0,494.0,0.0,0.0,0.0,0.0,0.0,44.0,259.0,0.0,0.0,146.0,311.0,32.0,0.0,17.0,0.0,224.0,151.0,107.0,27.0,77.0,0.0,563.0,33.0,20.0,30.0,122.0,0.0,26.0,6.0,121.0,0.0,0.0,0.0,0.0,18.0,28.0,0.0,129.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,510.0,0.0,0.0,0.0
97960dddb73c873b275ae3b8472b58c6,0.0,0.0,59.0,53.0,0.0,0.0,0.0,24.0,152.0,72.0,0.0,187.0,0.0,124.0,41.0,103.0,25.0,20.0,110.0,114.0,0.0,91.0,0.0,45.0,0.0,197.0,0.0,53.0,30.0,112.0,0.0,54.0,0.0,0.0,27.0,0.0,0.0,0.0,183.0,92.0,0.0,0.0,0.0,50.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,259.0,58.0,198.0,0.0,188.0,457.0,204.0,93.0,240.0,110.0,219.0,0.0,11.0,80.0,93.0,42.0,19.0,0.0,0.0,5.0,87.0,0.0,0.0,0.0,21.0,155.0,11.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,577.0,0.0,0.0,0.0,0.0,0.0
409667a82752ef923d2b764434f2747d,0.0,0.0,0.0,0.0,433.0,0.0,0.0,0.0,0.0,62.0,146.0,0.0,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0,0.0,0.0,0.0,0.0,0.0,354.0,0.0,0.0,308.0,506.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.0,534.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0
234853d50e37311b87d5fe97143f8cee,0.0,0.0,0.0,34.0,0.0,471.0,380.0,106.0,403.0,0.0,0.0,0.0,0.0,41.0,11.0,122.0,56.0,18.0,41.0,0.0,0.0,29.0,0.0,0.0,21.0,53.0,45.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,25.0,0.0,0.0,0.0,90.0,170.0,0.0,0.0,0.0,59.0,0.0,331.0,0.0,0.0,0.0,0.0,0.0,24.0,192.0,0.0,0.0,89.0,235.0,19.0,0.0,18.0,0.0,152.0,105.0,77.0,35.0,58.0,0.0,379.0,20.0,15.0,43.0,75.0,0.0,24.0,5.0,117.0,0.0,0.0,0.0,0.0,22.0,32.0,0.0,93.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,331.0,0.0,0.0,0.0
262ac16620120d31ea432bac11a49f9b,0.0,0.0,39.0,40.0,0.0,0.0,0.0,15.0,108.0,0.0,0.0,133.0,0.0,86.0,37.0,61.0,18.0,34.0,83.0,88.0,0.0,84.0,0.0,58.0,0.0,160.0,0.0,44.0,30.0,95.0,0.0,27.0,0.0,0.0,12.0,0.0,0.0,0.0,126.0,101.0,0.0,0.0,0.0,33.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,173.0,36.0,158.0,0.0,221.0,329.0,132.0,66.0,205.0,129.0,165.0,0.0,3.0,56.0,109.0,44.0,9.0,0.0,0.0,15.0,70.0,0.0,0.0,0.0,15.0,104.0,16.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,563.0,0.0,0.0,0.0,0.0,0.0
9b79f7cbced316ba3bac1f5e43d190bd,0.0,0.0,0.0,18.0,0.0,308.0,207.0,85.0,344.0,0.0,0.0,0.0,0.0,18.0,3.0,112.0,28.0,5.0,39.0,0.0,0.0,19.0,0.0,0.0,8.0,40.0,36.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,12.0,0.0,0.0,0.0,49.0,93.0,0.0,0.0,0.0,46.0,0.0,284.0,0.0,0.0,0.0,0.0,0.0,18.0,122.0,0.0,0.0,47.0,136.0,16.0,0.0,7.0,0.0,120.0,70.0,58.0,17.0,55.0,0.0,256.0,19.0,14.0,22.0,55.0,0.0,10.0,5.0,74.0,0.0,0.0,0.0,0.0,17.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,268.0,0.0,0.0,0.0
1ffd64153f5d7b1e74dbf6b80c5072c8,0.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,539.0,0.0,0.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,325.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.0,0.0,0.0
aea41c13899ff443218036e9d4ae2292,0.0,0.0,0.0,17.0,0.0,286.0,212.0,64.0,335.0,0.0,0.0,0.0,0.0,18.0,8.0,91.0,16.0,5.0,26.0,0.0,0.0,13.0,0.0,0.0,5.0,41.0,32.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,12.0,0.0,0.0,0.0,62.0,69.0,0.0,0.0,0.0,39.0,0.0,256.0,0.0,0.0,0.0,0.0,0.0,11.0,141.0,0.0,0.0,64.0,169.0,26.0,0.0,11.0,0.0,140.0,58.0,51.0,16.0,49.0,0.0,251.0,10.0,10.0,11.0,54.0,0.0,13.0,2.0,74.0,0.0,0.0,0.0,0.0,18.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,271.0,0.0,0.0,0.0
c3518d6524a19f520ed445514a6b9f77,60.0,0.0,35.0,51.0,0.0,150.0,122.0,25.0,123.0,0.0,0.0,41.0,0.0,40.0,20.0,48.0,0.0,8.0,13.0,27.0,11.0,27.0,0.0,0.0,0.0,13.0,12.0,0.0,0.0,39.0,41.0,30.0,55.0,0.0,37.0,0.0,0.0,0.0,25.0,157.0,0.0,0.0,0.0,13.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,82.0,66.0,0.0,0.0,24.0,78.0,36.0,0.0,15.0,94.0,333.0,29.0,86.0,50.0,61.0,0.0,144.0,39.0,17.0,22.0,172.0,100.0,27.0,16.0,33.0,0.0,0.0,0.0,0.0,49.0,47.0,0.0,0.0,0.0,9.0,0.0,0.0,47.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0
d53e9cc4a7a2ec94dfcda58ed3bd6be5,321.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,106.0,0.0,0.0,106.0,0.0,62.0,0.0,0.0,23.0,0.0,77.0,21.0,0.0,235.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,135.0,0.0,60.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,281.0,123.0,53.0,155.0,13.0,0.0,0.0,33.0,49.0,161.0,79.0,125.0,0.0,83.0,11.0,29.0,0.0,0.0,0.0,28.0,0.0,109.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
