url,target,description
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/009/SRR8667659/SRR8667659_1.fastq.gz,data/seaweed/raw/a1.d1_R1.fastq,forward reads for a1.d1
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8667658/SRR8667658_1.fastq.gz,data/seaweed/raw/a1.d20_R1.fastq,forward reads for a1.d20
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8667657/SRR8667657_1.fastq.gz,data/seaweed/raw/a1.d31_R1.fastq,forward reads for a1.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8667656/SRR8667656_1.fastq.gz,data/seaweed/raw/a1.d35_R1.fastq,forward reads for a1.d35
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/005/SRR8667655/SRR8667655_1.fastq.gz,data/seaweed/raw/a1.d41_R1.fastq,forward reads for a1.d41
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/004/SRR8667654/SRR8667654_1.fastq.gz,data/seaweed/raw/a2.d1_R1.fastq,forward reads for a2.d1
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/003/SRR8667653/SRR8667653_1.fastq.gz,data/seaweed/raw/a2.d20_R1.fastq,forward reads for a2.d20
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/002/SRR8667652/SRR8667652_1.fastq.gz,data/seaweed/raw/a2.d31_R1.fastq,forward reads for a2.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/001/SRR8667651/SRR8667651_1.fastq.gz,data/seaweed/raw/a2.d35_R1.fastq,forward reads for a2.d35
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/000/SRR8667650/SRR8667650_1.fastq.gz,data/seaweed/raw/a2.d41_R1.fastq,forward reads for a2.d41
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/003/SRR8667693/SRR8667693_1.fastq.gz,data/seaweed/raw/a3.d1_R1.fastq,forward reads for a3.d1
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/002/SRR8667692/SRR8667692_1.fastq.gz,data/seaweed/raw/a3.d20_R1.fastq,forward reads for a3.d20
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/005/SRR8667695/SRR8667695_1.fastq.gz,data/seaweed/raw/a3.d31_R1.fastq,forward reads for a3.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/004/SRR8667694/SRR8667694_1.fastq.gz,data/seaweed/raw/a3.d35_R1.fastq,forward reads for a3.d35
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/009/SRR8667689/SRR8667689_1.fastq.gz,data/seaweed/raw/a3.d41_R1.fastq,forward reads for a3.d41
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/008/SRR8667688/SRR8667688_1.fastq.gz,data/seaweed/raw/a4.d31_R1.fastq,forward reads for a4.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/001/SRR8667691/SRR8667691_1.fastq.gz,data/seaweed/raw/a5.d31_R1.fastq,forward reads for a5.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/000/SRR8667690/SRR8667690_1.fastq.gz,data/seaweed/raw/a6.d31_R1.fastq,forward reads for a6.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/007/SRR8667697/SRR8667697_1.fastq.gz,data/seaweed/raw/a7.d31_R1.fastq,forward reads for a7.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8667696/SRR8667696_1.fastq.gz,data/seaweed/raw/a8.d31_R1.fastq,forward reads for a8.d31
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/000/SRR8667680/SRR8667680_1.fastq.gz,data/seaweed/raw/b1.d1_R1.fastq,forward reads for b1.d1
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/001/SRR8667681/SRR8667681_1.fastq.gz,data/seaweed/raw/b1.d20_R1.fastq,forward reads for b1.d20
ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/002/SRR8667682/SRR8667682_1.fastq.gz,data/seaweed/raw/b1.d31_R1.fastq,forward reads for b1.d31
