Sample	Response	Days
sample-1	res	1
sample-2	res	20
sample-3	res	31
sample-4	res	35
sample-5	res	41
sample-6	res	1
sample-7	res	20
sample-8	res	31
sample-9	res	35
sample-10	res	41
sample-11	res	1
sample-12	res	20
sample-13	res	31
sample-14	res	35
sample-15	res	41
sample-16	non	31
sample-17	non	31
sample-18	res	31
sample-19	res	31
sample-20	res	31
sample-21	cnt	1
sample-22	cnt	20
sample-23	cnt	31
sample-24	cnt	35
sample-25	cnt	41
sample-26	cnt	1
sample-27	cnt	20
sample-28	cnt	31
sample-29	cnt	35
sample-30	cnt	41
sample-31	cnt	1
sample-32	cnt	20
sample-33	cnt	31
sample-34	cnt	35
sample-35	cnt	41
sample-36	cnt	31
sample-37	cnt	31
sample-38	cnt	31
sample-39	res	1
sample-40	res	20
sample-41	res	31
sample-42	res	35
sample-43	res	41
sample-44	res	1
sample-45	res	20
sample-46	res	31
sample-47	res	35
sample-48	res	41
sample-49	res	1
sample-50	res	20
sample-51	res	31
sample-52	res	35
sample-53	res	41
sample-54	res	31
sample-55	res	31
sample-56	non	31
sample-57	non	31
sample-58	res	31
sample-59	cnt	1
sample-60	cnt	20
sample-61	cnt	31
sample-62	cnt	35
sample-63	cnt	41
sample-64	cnt	1
sample-65	cnt	20
sample-66	cnt	31
sample-67	cnt	35
sample-68	cnt	41
sample-69	cnt	1
sample-70	cnt	20
sample-71	cnt	31
sample-72	cnt	35
sample-73	cnt	41
sample-74	cnt	31
sample-75	cnt	31
sample-76	cnt	31
sample-77	res	1
sample-78	res	20
sample-79	res	31
sample-80	res	35
sample-81	res	41
sample-82	res	1
sample-83	res	20
sample-84	res	31
sample-85	res	35
sample-86	res	41
sample-87	res	1
sample-88	res	20
sample-89	res	31
sample-90	res	35
sample-91	res	41
sample-92	res	1
sample-93	res	20
sample-94	res	31
sample-95	res	35
sample-96	res	41
