n,effect,mu,phi,mean_reads,prevalence,power,power_sd,fdr,fdr_sd
4,0,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0276470588235294,0.0127224534882418,,
6,0,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0117647058823529,0.00784313725490196,,
8,0,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.00352941176470588,0.00411297587517706,,
12,0,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.00411764705882353,0.00484278001381509,,
16,0,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.00176470588235294,0.00397028563359149,,
20,0,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.00294117647058824,0.00499903873881646,,
28,0,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.00294117647058824,0.00310027221585135,,
38,0,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.000588235294117647,0.00186016332951081,,
50,0,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.00235294117647059,0.00303763399702543,,
70,0,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.000588235294117647,0.00186016332951081,,
94,0,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.00176470588235294,0.00284144642082146,,
128,0,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.00117647058823529,0.00372032665902162,,
4,0.1,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0276470588235294,0.0133131334876611,0.531172438672439,0.134385121956839
6,0.1,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0129411764705882,0.00911290199107627,0.313412698412698,0.255490491459955
8,0.1,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0129411764705882,0.0120233017386321,0.303571428571429,0.299241608801981
12,0.1,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.00647058823529412,0.00515055903394655,0.333333333333333,0.353553390593274
16,0.1,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0294117647058824,0.0138648388467951,0.0926190476190476,0.128338265947553
20,0.1,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0276470588235294,0.0133131334876611,0.101904761904762,0.119294981105689
28,0.1,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.04,0.00952545709920872,0.0822222222222222,0.082216799954677
38,0.1,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0482352941176471,0.00952545709920872,0.0798160173160173,0.0958874357082591
50,0.1,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0523529411764706,0.0112467689409412,0.0613888888888889,0.0670059524821371
70,0.1,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0729411764705882,0.0130653578423198,0.0216666666666667,0.0351803115533057
94,0.1,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0723529411764706,0.0135988555956076,0.0166666666666667,0.0351364184463153
128,0.1,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0964705882352941,0.0182258039821525,0.0268545751633987,0.0288238065274522
4,0.2,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0329411764705882,0.0180136220829111,0.524101976454918,0.124848744355279
6,0.2,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0158823529411765,0.0111091886072277,0.527142857142857,0.299939525272782
8,0.2,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0247058823529412,0.0146206681429861,0.269848484848485,0.218196372971319
12,0.2,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0188235294117647,0.0120233017386321,0.172619047619048,0.315532340016633
16,0.2,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0247058823529412,0.0126466788208605,0.12,0.135355042958587
20,0.2,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0529411764705882,0.0164050985594917,0.0476623376623377,0.0635643200284761
28,0.2,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0723529411764706,0.0141530058295048,0.0482478632478633,0.0547469090315252
38,0.2,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0611764705882353,0.0200345721952075,0.0201680672268908,0.046905178014419
50,0.2,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.148823529411765,0.0260201323882881,0.0157359307359307,0.0211275443778511
70,0.2,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.159411764705882,0.0226043651560072,0.0248809523809524,0.0363975643533207
94,0.2,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.188823529411765,0.0292741880391547,0.032030935541372,0.035537778483359
128,0.2,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.214705882352941,0.031033709394793,0.0112346373956281,0.0191231037608705
4,0.3,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0511764705882353,0.0238620281201197,0.410528221778222,0.15255312708394
6,0.3,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0288235294117647,0.0125398250629957,0.339935064935065,0.139984574488044
8,0.3,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0164705882352941,0.0106678200068513,0.440952380952381,0.174948432095484
12,0.3,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0564705882352941,0.0184355439584991,0.0435786435786436,0.058015118849354
16,0.3,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0770588235294118,0.0202730306283339,0.0292374292374292,0.0391834479631853
20,0.3,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0652941176470588,0.0108995624389704,0.0754254079254079,0.0443943258697373
28,0.3,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.111176470588235,0.0321532757444646,0.0455,0.0571334262499785
38,0.3,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.110588235294118,0.0221490529355968,0.0316889483065954,0.0450233943726532
50,0.3,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.291764705882353,0.0218695584213313,0.0215629739075117,0.0167923248287322
70,0.3,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.277647058823529,0.0333679174685218,0.0259219261466034,0.0316346122553322
94,0.3,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.384705882352941,0.0323618526051416,0.0312055297941555,0.0197640837133186
128,0.3,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.423529411764706,0.0252629386798532,0.0108329791310436,0.0102397249021749
4,0.4,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0470588235294118,0.0144087631928422,0.465424633621565,0.0973065720450343
6,0.4,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0476470588235294,0.0198901249457502,0.318860028860029,0.123122004445887
8,0.4,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0235294117647059,0.0141394167665255,0.143333333333333,0.129386014471197
12,0.4,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0482352941176471,0.0250796501259913,0.142261904761905,0.116265439539628
16,0.4,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.149411764705882,0.019251666993935,0.0362732656870588,0.0375252969503309
20,0.4,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.178823529411765,0.0222183772144554,0.0451445008174548,0.0311382646553189
28,0.4,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.155882352941176,0.0270630857683182,0.0547294269198294,0.0391665232182236
38,0.4,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.298823529411765,0.031348029634057,0.0317092956908692,0.0289516977077427
50,0.4,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.415882352941177,0.0305089470115057,0.0313513983265423,0.0177489783835248
70,0.4,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.561176470588235,0.0296331537055883,0.0218835549561127,0.0212294714251231
94,0.4,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.463529411764706,0.0106678200068513,0.0281536430656839,0.0178668317717759
128,0.4,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.577058823529412,0.0174167984244725,0.0257031538688083,0.0166671853715304
4,0.5,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0782352941176471,0.0270346581493712,0.357565230542623,0.0936297380155378
6,0.5,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0494117647058824,0.0186429244298113,0.167619047619048,0.153678339391029
8,0.5,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0917647058823529,0.0211546728772724,0.110469030969031,0.0654929974173486
12,0.5,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.0752941176470588,0.0293201186549314,0.109121799253378,0.0776787314059598
16,0.5,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.148823529411765,0.0404748819731698,0.0342959309245698,0.0312266786780208
20,0.5,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.188823529411765,0.0470138674152092,0.0359171980927855,0.0230996852578961
28,0.5,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.508823529411765,0.0351029682156238,0.0196274259691256,0.0137980707955458
38,0.5,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.357058823529412,0.0302558613701718,0.0160077413185915,0.0128991735535019
50,0.5,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.454117647058824,0.0156371780685309,0.0186579016327123,0.0139383092030614
70,0.5,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.560588235294118,0.0107575425288982,0.0313292951744154,0.0197289339064864
94,0.5,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.668235294117647,0.0157352177629324,0.00768786620434264,0.0101954041553503
128,0.5,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.580588235294118,0.0100172860976038,0.0139921055731023,0.0097376104600899
4,0.6,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.128235294117647,0.0326692793720134,0.224333256930432,0.0496198351703704
6,0.6,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.114705882352941,0.022908473422643,0.146446441699369,0.0666027007807382
8,0.6,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.175294117647059,0.0277019341371755,0.0657954463836817,0.0473290124667457
12,0.6,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.27,0.0356679547892306,0.0323982684003804,0.0203655558341666
16,0.6,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.364117647058824,0.0171946362889363,0.032588386969725,0.0195512914891298
20,0.6,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.544705882352941,0.0417973728454093,0.0225605772210604,0.0128372175247632
28,0.6,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.534705882352941,0.0217373083167303,0.0276665213005765,0.0196239008481052
38,0.6,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.653529411764706,0.033327565821683,0.0105679276196043,0.0106300614243596
50,0.6,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.64,0.0219747854527402,0.0203623399444899,0.0129934137643814
70,0.6,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.635294117647059,0.00919689364671261,0.023381738436288,0.0111125557395941
94,0.6,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.718823529411765,0.0143552982099789,0.0168274293067742,0.0102267095203904
128,0.6,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.614705882352941,0.0127827498141228,0.0149592746811555,0.0138813191692069
4,0.7,0.0291743193365617,0.0252464916116285,292.108695652174,0.907289002557545,0.181176470588235,0.0290566800828905,0.260920070299426,0.0646997681184957
