n,effect,r2,r2_sd,power,power_sd,asym_r2,asym_r2_sd,fdr,fdr_sd
4,0,0.335753190610008,0.0121496467802449,0,0,0.00775281417514103,0.00045717626979537,,
6,0,0.200056843317829,0.0120780413231965,0,0,0.00775281417514103,0.00045717626979537,,
8,0,0.140319382528036,0.0080116714667662,0.04,0.0699205898780101,0.00775281417514103,0.00045717626979537,,
12,0,0.091640553179709,0.00466752451373013,0.06,0.0699205898780101,0.00775281417514103,0.00045717626979537,,
16,0,0.0640887065676255,0.00565235985116449,0.08,0.122927259430572,0.00775281417514103,0.00045717626979537,,
20,0,0.0529354916234602,0.00143557435463783,0.04,0.0516397779494322,0.00775281417514103,0.00045717626979537,,
28,0,0.0369075573418815,0.00206576240528335,0.04,0.0843274042711568,0.00775281417514103,0.00045717626979537,,
38,0,0.0269352285007935,0.00158493314123173,0.08,0.0632455532033676,0.00775281417514103,0.00045717626979537,,
50,0,0.0201372407670368,0.00116747480662853,0.05,0.0849836585598798,0.00775281417514103,0.00045717626979537,,
70,0,0.0139362227496092,0.00117719522554175,0.04,0.0516397779494322,0.00775281417514103,0.00045717626979537,,
94,0,0.0104796799605887,0.000421277595654876,0.04,0.0516397779494322,0.00775281417514103,0.00045717626979537,,
128,0,0.00775281417514103,0.00045717626979537,0.06,0.0843274042711568,0.00775281417514103,0.00045717626979537,,
4,0.1,0.336043185796832,0.0202096818058196,0,0,0.0128063627503469,0.000727370451057858,,
6,0.1,0.204070143917551,0.00886758142490352,0,0,0.0128063627503469,0.000727370451057858,,
8,0.1,0.146051130842593,0.00845689597286895,0.04,0.0699205898780101,0.0128063627503469,0.000727370451057858,0.191387559808612,0.334548276928278
12,0.1,0.0927950220512672,0.00309504064979189,0.06,0.0699205898780101,0.0128063627503469,0.000727370451057858,0.112781954887218,0.131429680221824
16,0.1,0.0710493033087459,0.00552881186763241,0.08,0.0788810637746616,0.0128063627503469,0.000727370451057858,0.131578947368421,0.202182992484493
20,0.1,0.0580096475101248,0.00210549488838609,0.14,0.126491106406735,0.0128063627503469,0.000727370451057858,0.0597014925373134,0.0770742954469138
28,0.1,0.0437683647483437,0.00420081743499794,0.24,0.201108041719978,0.0128063627503469,0.000727370451057858,0.0517464424320828,0.10909107926411
38,0.1,0.0309788721570181,0.000727333939988892,0.14,0.117378779077727,0.0128063627503469,0.000727370451057858,0.0985221674876847,0.0778886123194182
50,0.1,0.023024972159895,0.0010379766317861,0.14,0.0843274042711568,0.0128063627503469,0.000727370451057858,0.0630517023959647,0.107167286960756
70,0.1,0.0177072520687899,0.000611961219783353,0.25,0.108012344973464,0.0128063627503469,0.000727370451057858,0.0482509047044632,0.0622916501199424
94,0.1,0.0140665847467624,0.00061039904863978,0.42,0.168654808542314,0.0128063627503469,0.000727370451057858,0.04739336492891,0.061184571030133
128,0.1,0.0128063627503469,0.000727370451057858,0.89,0.0875595035770913,0.0128063627503469,0.000727370451057858,0.0670391061452514,0.0942205634314601
4,0.2,0.346195672122664,0.0196109584470387,0,0,0.027502288066289,0.000583588343911452,,
6,0.2,0.203888471258975,0.0112992130323398,0,0,0.027502288066289,0.000583588343911452,,
8,0.2,0.152384019460132,0.00355055520195286,0.08,0.0918936583472681,0.027502288066289,0.000583588343911452,0.191387559808612,0.334548276928278
12,0.2,0.10956514292099,0.0040383219438451,0.24,0.142984070596848,0.027502288066289,0.000583588343911452,0.112781954887218,0.131429680221824
16,0.2,0.0817702115000561,0.00421897558663538,0.31,0.13703203194063,0.027502288066289,0.000583588343911452,0.131578947368421,0.202182992484493
20,0.2,0.0625161221514625,0.00401371186173352,0.26,0.171269767715535,0.027502288066289,0.000583588343911452,0.0597014925373134,0.0770742954469138
28,0.2,0.053246211503299,0.0022993002999615,0.74,0.150554530541816,0.027502288066289,0.000583588343911452,0.0517464424320828,0.10909107926411
38,0.2,0.0433215130850648,0.00188750468420614,0.9,0.0942809041582064,0.027502288066289,0.000583588343911452,0.0985221674876847,0.0778886123194182
50,0.2,0.0295431469948657,0.0013691993677516,0.74,0.157762127549323,0.027502288066289,0.000583588343911452,0.0630517023959647,0.107167286960756
70,0.2,0.0313595795201449,0.00120538132189778,1,0,0.027502288066289,0.000583588343911452,0.0482509047044632,0.0622916501199424
94,0.2,0.0184664042592127,0.000773187569326532,0.98,0.0421637021355784,0.027502288066289,0.000583588343911452,0.04739336492891,0.061184571030133
128,0.2,0.027502288066289,0.000583588343911452,1,0,0.027502288066289,0.000583588343911452,0.0670391061452514,0.0942205634314601
4,0.3,0.347512829124714,0.0173146361244879,0,0,0.0198448611242564,0.000935012903394122,,
6,0.3,0.226423595527366,0.00826006588862241,0,0,0.0198448611242564,0.000935012903394122,,
8,0.3,0.153197999417807,0.00949408984654603,0.07,0.0823272602348565,0.0198448611242564,0.000935012903394122,0.191387559808612,0.334548276928278
12,0.3,0.102507493476052,0.00389552199478135,0.11,0.0737864787372622,0.0198448611242564,0.000935012903394122,0.112781954887218,0.131429680221824
16,0.3,0.0855387426690077,0.00281804750221726,0.44,0.107496769977314,0.0198448611242564,0.000935012903394122,0.131578947368421,0.202182992484493
