seqnames,description,sample,counts,reads
NG_048058.1,"Serratia marcescens S-95 rmtB gene for 16S rRNA (guanine(1405)-N(7))-methyltransferase RmtB1, complete CDS",01-13-A6D25,3,27588820
NG_048006.1,"Streptococcus pneumoniae GA3488 msr(D) gene for ABC-F type ribosomal protection protein Msr(D), complete CDS",01-13-A6D25,2,27588820
NG_050155.1,"Proteus mirabilis 217C5 blaTEM gene for class A extended-spectrum beta-lactamase TEM-11, complete CDS",01-13-A6D25,1,27588820
NG_050207.1,"Escherichia coli 3343 blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-163, complete CDS",01-13-A6D25,1,27588820
NG_050175.1,"Salmonella enterica subsp. enterica serovar Typhimurium blaTEM gene for class A extended-spectrum beta-lactamase TEM-131, complete CDS",01-13-A6D25,1,27588820
NG_048178.1,"Chlamydia suis R27 tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS",01-13-A6D25,4,27588820
NG_050247.1,"Escherichia coli 866330 blaTEM gene for class A beta-lactamase TEM-214, complete CDS",01-13-A6D25,1,27588820
NG_050218.1,"Escherichia sp. Sflu5 pAK51 blaTEM gene for class A beta-lactamase TEM-181, complete CDS",01-13-A6D25,2,27588820
NG_050276.1,"Escherichia coli F4-Zhengzhou unnamed blaTEM gene for class A broad-spectrum beta-lactamase TEM-57, complete CDS",01-13-A6D25,2,27588820
NG_050237.1,"Pseudomonas aeruginosa 12 blaTEM gene for class A beta-lactamase TEM-205, complete CDS",01-13-A6D25,2,27588820
NG_050232.1,"Klebsiella pneumoniae FSP 286/05 blaTEM gene for class A extended-spectrum beta-lactamase TEM-197, complete CDS",01-13-A6D25,6,27588820
NG_047440.1,"Enterobacter cloacae pEC-IMP aph(3')-Ia gene for aminoglycoside O-phosphotransferase APH(3')-Ia, complete CDS",01-13-A6D25,1,27588820
NG_050206.1,"Acinetobacter haemolyticus pUPI191 blaTEM gene for class A beta-lactamase TEM-162, complete CDS",01-13-A6D25,7,27588820
NG_050179.1,"Salmonella enterica subsp. enterica serovar Typhimurium pFPTB1 blaTEM gene for class A broad-spectrum beta-lactamase TEM-135, complete CDS",01-13-A6D25,2,27588820
NG_048174.1,"Francisella tularensis LVS pOM1 tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS",01-13-A6D25,1,27588820
NG_050282.1,"Escherichia coli SM91 blaTEM gene for class A beta-lactamase TEM-70, complete CDS",01-13-A6D25,1,27588820
NG_050279.1,"Escherichia coli blaTEM gene for class A extended-spectrum beta-lactamase TEM-63, complete CDS",01-13-A6D25,1,27588820
NG_050299.1,"Escherichia coli 7604 pMG204b blaTEM gene for class A broad-spectrum beta-lactamase TEM-90, complete CDS",01-13-A6D25,2,27588820
NG_050157.1,"Escherichia coli Ur7883/2001 blaTEM gene for class A beta-lactamase TEM-111, complete CDS",01-13-A6D25,1,27588820
NG_050201.1,"Enterobacter cloacae pEC005 blaTEM gene for class A extended-spectrum beta-lactamase TEM-157, complete CDS",01-13-A6D25,2,27588820
NG_050266.1,"Escherichia coli blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-40, complete CDS",01-13-A6D25,1,27588820
NG_050195.1,"Escherichia coli blaTEM gene for inhibitor-resistant class A extended-spectrum beta-lactamase TEM-151, complete CDS",01-13-A6D25,1,27588820
NG_056416.1,"Acinetobacter haemolyticus AN3 blaTEM gene for class A beta-lactamase TEM-229, complete CDS",01-13-A6D25,5,27588820
NG_050291.1,"Escherichia coli blaTEM gene for inhibitor-resistant class A broad-spectrum beta-lactamase TEM-81, complete CDS",01-13-A6D25,2,27588820
NG_050165.1,"Escherichia coli KB-1 blaTEM gene for inhibitor-resistant class A extended-spectrum beta-lactamase TEM-121, complete CDS",01-13-A6D25,2,27588820
